IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.174.118,8880,8880,false,HKG,Asia Pacific,Hong Kong,53,10.60
47.236.115.54,443,443,true,SIN,Asia Pacific,Singapore,80,10.60
8.219.112.75,2052,2052,false,SIN,Asia Pacific,Singapore,7,10.60
8.219.185.191,2083,2083,true,SIN,Asia Pacific,Singapore,42,10.60
8.209.222.232,2082,2082,false,HKG,Asia Pacific,Hong Kong,158,10.60
47.74.22.171,80,80,false,NRT,Asia Pacific,Tokyo,89,10.60
47.91.23.146,8443,8443,true,NRT,Asia Pacific,Tokyo,121,10.60
47.242.79.71,2087,2087,true,HKG,Asia Pacific,Hong Kong,110,10.60
8.222.221.109,2095,2095,false,SIN,Asia Pacific,Singapore,8,10.59
8.222.209.223,2052,2052,false,SIN,Asia Pacific,Singapore,13,10.59
8.219.83.201,8443,8443,true,SIN,Asia Pacific,Singapore,52,10.58
47.74.11.101,80,80,false,NRT,Asia Pacific,Tokyo,73,10.58
8.222.244.123,2053,2053,true,SIN,Asia Pacific,Singapore,58,10.58
8.218.174.118,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,10.58
47.245.39.49,8080,8080,false,HKG,Asia Pacific,Hong Kong,164,10.58
8.219.104.242,443,443,true,SIN,Asia Pacific,Singapore,70,10.57
8.218.18.132,2053,2053,true,HKG,Asia Pacific,Hong Kong,86,10.57
47.74.3.1,2053,2053,true,NRT,Asia Pacific,Tokyo,154,10.57
8.219.129.38,2087,2087,true,SIN,Asia Pacific,Singapore,60,10.57
8.222.202.163,2095,2095,false,SIN,Asia Pacific,Singapore,9,10.57
47.91.3.87,2086,2086,false,NRT,Asia Pacific,Tokyo,79,10.56
47.74.6.16,8080,8080,false,NRT,Asia Pacific,Tokyo,91,10.56
8.222.237.131,2096,2096,true,SIN,Asia Pacific,Singapore,58,10.56
8.219.77.222,2087,2087,true,SIN,Asia Pacific,Singapore,27,10.56
47.91.10.241,2087,2087,true,NRT,Asia Pacific,Tokyo,144,10.56
47.91.17.183,2086,2086,false,NRT,Asia Pacific,Tokyo,76,10.56
8.209.243.99,2087,2087,true,NRT,Asia Pacific,Tokyo,79,10.55
8.219.53.222,8443,8443,true,SIN,Asia Pacific,Singapore,46,10.55
47.245.59.133,2096,2096,true,NRT,Asia Pacific,Tokyo,98,10.55
8.222.147.203,2053,2053,true,SIN,Asia Pacific,Singapore,77,10.55
8.219.98.13,2052,2052,false,SIN,Asia Pacific,Singapore,15,10.55
8.219.159.232,2053,2053,true,SIN,Asia Pacific,Singapore,61,10.55
47.245.34.140,2083,2083,true,NRT,Asia Pacific,Tokyo,84,10.54
47.91.2.165,2053,2053,true,NRT,Asia Pacific,Tokyo,120,10.53
8.219.42.72,2053,2053,true,SIN,Asia Pacific,Singapore,5,10.53
8.209.222.232,8880,8880,false,HKG,Asia Pacific,Hong Kong,165,10.53
47.74.10.140,2053,2053,true,HKG,Asia Pacific,Hong Kong,226,10.52
47.74.21.61,2053,2053,true,NRT,Asia Pacific,Tokyo,129,10.52
8.219.70.117,2082,2082,false,SIN,Asia Pacific,Singapore,4,10.52
47.254.66.75,443,443,true,SJC,North America,San Jose,183,10.52
8.219.77.91,8080,8080,false,SIN,Asia Pacific,Singapore,18,10.52
8.219.65.191,2052,2052,false,SIN,Asia Pacific,Singapore,14,10.52
47.245.37.29,2083,2083,true,NRT,Asia Pacific,Tokyo,163,10.52
8.222.238.141,2096,2096,true,SIN,Asia Pacific,Singapore,41,10.52
47.74.22.88,2087,2087,true,NRT,Asia Pacific,Tokyo,162,10.51
8.219.124.227,8880,8880,false,SIN,Asia Pacific,Singapore,10,10.51
8.219.72.50,2082,2082,false,SIN,Asia Pacific,Singapore,6,10.51
47.243.70.197,2087,2087,true,HKG,Asia Pacific,Hong Kong,73,10.51
8.219.102.252,2052,2052,false,SIN,Asia Pacific,Singapore,10,10.51
8.222.236.229,2087,2087,true,SIN,Asia Pacific,Singapore,71,10.51
8.219.66.156,8443,8443,true,SIN,Asia Pacific,Singapore,120,10.50
8.219.93.5,2082,2082,false,SIN,Asia Pacific,Singapore,33,10.50
47.245.37.12,8443,8443,true,NRT,Asia Pacific,Tokyo,96,10.50
47.74.26.132,2096,2096,true,NRT,Asia Pacific,Tokyo,173,10.49
8.219.194.170,8080,8080,false,SIN,Asia Pacific,Singapore,4,10.49
8.222.219.34,443,443,true,SIN,Asia Pacific,Singapore,40,10.49
47.74.14.85,80,80,false,NRT,Asia Pacific,Tokyo,84,10.48
8.222.198.105,8443,8443,true,SIN,Asia Pacific,Singapore,149,10.48
8.222.155.242,8443,8443,true,SIN,Asia Pacific,Singapore,99,10.48
47.251.74.226,443,443,true,LAX,North America,Los Angeles,182,10.48
8.219.142.191,2095,2095,false,SIN,Asia Pacific,Singapore,10,10.48
47.74.10.135,2083,2083,true,NRT,Asia Pacific,Tokyo,109,10.48
8.218.174.118,80,80,false,HKG,Asia Pacific,Hong Kong,34,10.48
8.219.93.85,8443,8443,true,SIN,Asia Pacific,Singapore,94,10.47
8.219.200.145,2052,2052,false,SIN,Asia Pacific,Singapore,54,10.47
8.219.111.175,443,443,true,SIN,Asia Pacific,Singapore,58,10.47
8.219.134.63,80,80,false,SIN,Asia Pacific,Singapore,27,10.47
47.74.42.111,2087,2087,true,NRT,Asia Pacific,Tokyo,156,10.47
47.236.145.85,2086,2086,false,SIN,Asia Pacific,Singapore,22,10.47
47.74.22.88,2053,2053,true,NRT,Asia Pacific,Tokyo,155,10.47
47.74.0.183,2095,2095,false,NRT,Asia Pacific,Tokyo,78,10.47
47.236.116.208,2096,2096,true,SIN,Asia Pacific,Singapore,86,10.47
8.219.101.138,8443,8443,true,SIN,Asia Pacific,Singapore,66,10.46
8.219.100.155,80,80,false,SIN,Asia Pacific,Singapore,15,10.46
8.219.72.50,2083,2083,true,SIN,Asia Pacific,Singapore,107,10.46
8.219.121.24,8080,8080,false,SIN,Asia Pacific,Singapore,9,10.46
8.222.229.102,2095,2095,false,SIN,Asia Pacific,Singapore,10,10.46
8.219.77.91,2083,2083,true,SIN,Asia Pacific,Singapore,65,10.46
47.91.31.231,2083,2083,true,NRT,Asia Pacific,Tokyo,113,10.46
8.219.173.239,2087,2087,true,SIN,Asia Pacific,Singapore,88,10.45
47.91.15.247,2083,2083,true,NRT,Asia Pacific,Tokyo,136,10.45
47.236.65.177,2086,2086,false,SIN,Asia Pacific,Singapore,9,10.45
8.219.98.13,2053,2053,true,SIN,Asia Pacific,Singapore,52,10.45
47.74.11.219,2052,2052,false,NRT,Asia Pacific,Tokyo,76,10.44
8.222.197.251,2095,2095,false,SIN,Asia Pacific,Singapore,60,10.44
8.222.221.197,2083,2083,true,SIN,Asia Pacific,Singapore,168,10.44
47.74.27.211,2082,2082,false,NRT,Asia Pacific,Tokyo,73,10.44
47.236.99.131,2083,2083,true,SIN,Asia Pacific,Singapore,64,10.44
47.74.3.2,2052,2052,false,NRT,Asia Pacific,Tokyo,78,10.43
8.219.251.81,2053,2053,true,SIN,Asia Pacific,Singapore,84,10.43
